profile_id,source_section,raw_keyword,context_text
0d72bdb8-ada8-4eb2-be40-1d31a38d4e9f,skills,R (Programming Language),R (Programming Language)
0d72bdb8-ada8-4eb2-be40-1d31a38d4e9f,skills,Microsurgery,Microsurgery
0d72bdb8-ada8-4eb2-be40-1d31a38d4e9f,skills,Chemogenetics,Chemogenetics
0d72bdb8-ada8-4eb2-be40-1d31a38d4e9f,skills,Optogenetics,Optogenetics
0d72bdb8-ada8-4eb2-be40-1d31a38d4e9f,skills,Mouse Models,Mouse Models
0d72bdb8-ada8-4eb2-be40-1d31a38d4e9f,skills,Writing,Writing
0d72bdb8-ada8-4eb2-be40-1d31a38d4e9f,skills,Manuscript,Manuscript
0d72bdb8-ada8-4eb2-be40-1d31a38d4e9f,skills,Editing,Editing
0d72bdb8-ada8-4eb2-be40-1d31a38d4e9f,skills,Computer Literacy,Computer Literacy
0d72bdb8-ada8-4eb2-be40-1d31a38d4e9f,skills,Academic Editing,Academic Editing
0d72bdb8-ada8-4eb2-be40-1d31a38d4e9f,publications,Mechanical fatigue of whole rabbit-tibiae under combined compression-torsional loading is better explained by strained volume than peak strain magnitude,Mechanical fatigue of whole rabbit-tibiae under combined compression-torsional loading is better explained by strained volume than peak strain magnitude
0d72bdb8-ada8-4eb2-be40-1d31a38d4e9f,publications,Finite-element modelling to predict the fatigue life of rabbit tibiae subject to compression-torsional loading,
0d72bdb8-ada8-4eb2-be40-1d31a38d4e9f,experience,"The focus of my thesis work is to better understand and treat cardiovascular dysfunction following spinal cord injury through the use of epidural spinal stimulation. Individuals living with spinal cord injury are at a four-fold greater risk of developing cardiovascular disease than uninjured individuals, so developing and testing a therapeutic for this condition is of the utmost importance to improve health outcomes in this population",Doctoral Researcher
0d72bdb8-ada8-4eb2-be40-1d31a38d4e9f,experience,"As a member of the Affiliate Management Committee, I am responsible for ensuring that there is a clear vision for Special Olympics Calgary that is founded in championing the health and social benefits afforded to Calgarians with an intellectual disability through the Special Olympics programs offered",MSc Student - Clinical Neruosciences
0d72bdb8-ada8-4eb2-be40-1d31a38d4e9f,experience,"As Social Director for the HBITO, I was responsible for organizing and running the social events of the HBITO. The aim of these events was to bring together trainees from the HBI of all all levels (MSc, PhD, and Post-Doctoral Fellows) in an informal setting to get to know one another and foster a better sense of community",Young Leader - Calgary Affiliate Management Committee
0d72bdb8-ada8-4eb2-be40-1d31a38d4e9f,experience,"Line cook for JOEY Crowfoot. Responsibilities included preparing and cooking meals for customers, maintaining kitchen cleanliness, and training new cooks to the kitchen. After starting out as an appetizers cook, I was promoted to an entrée cook after only 4 shifts on the job",Social Director - Hotchkiss Brain Institute Trainee Organization
