edu_id,profile_id,school,degree,field_of_study,start_date,end_date,grade,activities_societies,description,raw_text,sort_order
bcee58d5-7db3-42aa-bbce-dd77ad0d6862,639a2e46-1f1b-4d39-bf3e-786c15609979,University of Calgary,"Doctor of Philosophy - PhD, Neuroscience",,Feb 2022,Present,,,"The focus of my thesis work is to better understand and treat hemodynamic instability in both human and rodent models of spinal cord injury. For my human work, I am involved with the ongoing HEMO clinical trial, which uses targeted epidural stimulation of the spinal cord to improve hemodynamic instability following spinal cord injury. This trial is the first in Canada to surgically implant epidural spinal stimulators for the use of blood pressure control. For my animal work, I am currently trying to improve hemodynamic instability in mice through the use of optogenetics. Optogenetics will allow precise activation of sympathetic preganglionic neurons responsible for blood pressure control, providing hemodynamic stability following spinal cord without activation of other sympathetic circuits (i.e. bladder). … more","University of Calgary Doctor of Philosophy - PhD, Neuroscience Feb 2022 – Present The focus of my thesis work is to better understand and treat hemodynamic instability in both human and rodent models of spinal cord injury. For my human work, I am involved with the ongoing HEMO clinical trial, which uses targeted epidural stimulation of the spinal cord to improve hemodynamic instability following spinal cord injury. This trial is the first in Canada to surgically implant epidural spinal stimulato",0
16d1d802-7469-497e-85db-fcc39e4355e5,639a2e46-1f1b-4d39-bf3e-786c15609979,University of Calgary,"Master of Science - MSc, Clinical Neurosciences",,Jan 2020,Jan 2022,,Member of the Hotchkiss Brain Institute's Trainee Organization. Member of the University of Calgary's Graduate Student Society.,"The focus of my thesis is the use of robotics to better understand and rehabilitate arm function in stroke survivors. Specifically, I am looking at the ipsilesional arm in stroke survivors (often referred to as the ""less-affected"" arm), and how movement deficits in this arm present and change in the first 6-months following stroke. Ipsilesional deficits were previously overlooked in stroke rehabilitation, often being cited as ""insignificantly contributing"" to overall motor impairment following stroke. As a result, my work presents an exciting opportunity to provide clinicians with much needed knowledge about these deficits, and how they can be better targeted in the clinic. … more","University of Calgary Master of Science - MSc, Clinical Neurosciences Jan 2020 – Jan 2022 Activities and societies: Member of the Hotchkiss Brain Institute's Trainee Organization. Member of the University of Calgary's Graduate Student Society. The focus of my thesis is the use of robotics to better understand and rehabilitate arm function in stroke survivors. Specifically, I am looking at the ipsilesional arm in stroke survivors (often referred to as the ""less-affected"" arm), and how movement de",1
91727697-8ef6-4ba1-a557-77d8d57e49a2,639a2e46-1f1b-4d39-bf3e-786c15609979,University of Calgary,"Bachelor of Science - BSc (Hons), Biomechanics",,Sep 2015,Apr 2019,First-Class Honours,"Member of the University of Calgary's Kinesiology Student Society. Co-Founder & Vice-President of Finance of the School Club ""CommuniTeam"".","The focus of my undergraduate honours thesis was to help develop and validate a finite-element (FE) model of the rabbit tibia to predict surface strains during compressive loading. FE modelling provides an extremely useful method of predicting material failure under loading, bending, and twisting conditions. Rabbit tibiae were selected as the model for this project as their material properties most closely resemble that of humans. Now that this model has been validated, future applications of it include testing drugs that alter bone mineral density on rabbits and predicting bone fatigue life through FE modelling based on computed tomography scans. This will allow better predictions of how said drugs will impact a human population before implementing them in clinical trials. … more","University of Calgary Bachelor of Science - BSc (Hons), Biomechanics Sep 2015 – Apr 2019 Grade: First-Class Honours Activities and societies: Member of the University of Calgary's Kinesiology Student Society. Co-Founder & Vice-President of Finance of the School Club ""CommuniTeam"". The focus of my undergraduate honours thesis was to help develop and validate a finite-element (FE) model of the rabbit tibia to predict surface strains during compressive loading. FE modelling provides an extremely us",2
6c86e9db-8a1b-4635-93c0-ab1e59633036,b033cf86-58d8-4d70-b0e1-26881c3adb66,University of Toronto,"Doctor of Philosophy (PhD), Physiology",,2012,2018,,,"Bachelor of Science (BSc), Neuroscience and Chemistry","University of Toronto Doctor of Philosophy (PhD), Physiology 2012 – 2018 Dalhousie University Bachelor of Science (BSc), Neuroscience and Chemistry 2008 – 2012",0
0c9cc741-3ca4-45b0-9074-887ca7213691,efdbc8f3-283f-4d55-8d4a-cf4403e08152,University of Calgary,"MSc Psychology, Behavioural Neuroscience",,Aug 2024,Aug 2026,,,,"University of Calgary MSc Psychology, Behavioural Neuroscience Aug 2024 – Aug 2026 Skills: Mentoring, Animal Husbandry, +7 skills",0
256d2b8c-b330-45b3-9352-210cfbf312a8,efdbc8f3-283f-4d55-8d4a-cf4403e08152,University of Calgary,"Bachelor of Science - BS, Neuroscience",,2019,2023,Honours (First Class),,,"University of Calgary Bachelor of Science - BS, Neuroscience 2019 – 2023 Grade: Honours (First Class) Skills: Animal Husbandry, ImageJ, +9 skills",1
0f6e31d8-df05-4a5d-bdcb-6d561608872a,9790dd4e-368b-491d-a1af-4e756a236d6c,Columbia University,"Post Doctoral Fellow, Neuroscience",,Sep 1994,Aug 1998,,,,"Columbia University Post Doctoral Fellow, Neuroscience Sep 1994 – Aug 1998 Rutgers University Doctor of Philosophy - PhD, Biochemistry University of Michigan Bachelor of Science - BS, Molecular Cell Biology Sep 1985 – Aug 1986",0
5550c5f6-0667-4556-beaf-da2786e9e8ad,ffc02b17-87bd-41f4-ab71-db6024e7dc40,Western University,"Doctor of Philosophy (PhD), Medical Biophysics",,1989,1994,,,"Bachelor of Applied Science - BASc, Electrical Engineering","Western University Doctor of Philosophy (PhD), Medical Biophysics 1989 – 1994 University of Waterloo Bachelor of Applied Science - BASc, Electrical Engineering 1984 – 1989",0
2c0109bb-9713-4ea3-a599-f075717d738c,f51d9950-317d-4686-bb1b-d74cfed898dc,BNUT - Babol Noshirvani University of Technology,"Master's degree, Electrical and Electronics Engineering",,Sep 2009,Feb 2012,,,"Bachelor's degree, Electrical and Electronics Engineering","BNUT - Babol Noshirvani University of Technology Master's degree, Electrical and Electronics Engineering Sep 2009 – Feb 2012 Thesis: An Intelligent Method for Control Chart Pattern Recognition Using Optimized Machin Learning Algorithms. Supervisor: Ataollah Ebrahimzadeh … more University of Mazandaran Bachelor's degree, Electrical and Electronics Engineering Sep 2004 – Jun 2008",0
760a1c54-988d-434d-a075-2e7537e647c5,778f461f-2111-46bb-9a89-f85ae4e0bc64,Iran University of Science and Technology,"Master's degree, Software Engineering",,Jul 2017,May 2020,20/20,Working In Cognitive Science laboratory.,"My Master's research focused on time-series forecasting and sentiment analysis, aiming to predict dynamic changes in user opinions on social networks. This involved processing large, longitudinal datasets (over 1 year of user tweets) and applying advanced NLP techniques to analyze evolving sentiment towards a given topic. I designed and implemented a recurrent neural network (RNN) model (including LSTM and GRU architectures) to forecast opinion shifts, leveraging principles of user behavior modeling. The project demonstrated the ability to extract meaningful temporal patterns and predict future sentiment, achieving an initial prediction accuracy of 67%. This research deepened my expertise in sequential data modeling, large-scale data processing, and predictive analytics. … more","Iran University of Science and Technology Master's degree, Software Engineering Jul 2017 – May 2020 Grade: 20/20 Activities and societies: Working In Cognitive Science laboratory. My Master's research focused on time-series forecasting and sentiment analysis, aiming to predict dynamic changes in user opinions on social networks. This involved processing large, longitudinal datasets (over 1 year of user tweets) and applying advanced NLP techniques to analyze evolving sentiment towards a given top",0
