exp_id,profile_id,title,company,employment_type,location,start_date,end_date,duration,description,raw_text,sort_order
08fb7025-7c6a-4938-9b0c-f657028628db,639a2e46-1f1b-4d39-bf3e-786c15609979,Doctoral Researcher,University of Calgary,Permanent Full-time,,Feb 2022,Present,4 yrs 4 mos,"The focus of my thesis work is to better understand and treat cardiovascular dysfunction following spinal cord injury through the use of epidural spinal stimulation. Individuals living with spinal cord injury are at a four-fold greater risk of developing cardiovascular disease than uninjured individuals, so developing and testing a therapeutic for this condition is of the utmost importance to improve health outcomes in this population.","Doctoral Researcher Permanent Full-time Feb 2022 - Present · 4 yrs 4 mos The focus of my thesis work is to better understand and treat cardiovascular dysfunction following spinal cord injury through the use of epidural spinal stimulation. Individuals living with spinal cord injury are at a four-fold greater risk of developing cardiovascular disease than uninjured individuals, so developing and testing a therapeutic for this condition is of the utmost importance to improve health outcomes in this",0
dfbab6e4-ebc8-4543-b3bc-28848b589f9a,639a2e46-1f1b-4d39-bf3e-786c15609979,MSc Student - Clinical Neruosciences,University of Calgary,Contract Full-time,,Jan 2020,Jan 2022,2 yrs 1 mo,"The focus of my thesis was the use of robotics to better understand and rehabilitate arm function in stroke survivors. Specifically, I looked at the ipsilesional arm in stroke survivors (often referred to as the ""less-affected"" arm), and how movement deficits in this arm presented and changed in the first 6-months following stroke. Ipsilesional deficits were previously overlooked in stroke rehabilitation, often being cited as ""insignificantly contributing"" to overall motor impairment following stroke. As a result, my work presented an exciting opportunity to provide clinicians with much needed knowledge about these deficits, and how they can be better targeted in the clinic.","MSc Student - Clinical Neruosciences Contract Full-time Jan 2020 - Jan 2022 · 2 yrs 1 mo The focus of my thesis was the use of robotics to better understand and rehabilitate arm function in stroke survivors. Specifically, I looked at the ipsilesional arm in stroke survivors (often referred to as the ""less-affected"" arm), and how movement deficits in this arm presented and changed in the first 6-months following stroke. Ipsilesional deficits were previously overlooked in stroke rehabilitation, of",1
201cf142-8b06-4ce4-b111-4d18b2f7ed27,639a2e46-1f1b-4d39-bf3e-786c15609979,Young Leader - Calgary Affiliate Management Committee,Special Olympics Alberta,Contract Part-time,"Calgary, Alberta, Canada",Jun 2022,Present,4 yrs,"As a member of the Affiliate Management Committee, I am responsible for ensuring that there is a clear vision for Special Olympics Calgary that is founded in championing the health and social benefits afforded to Calgarians with an intellectual disability through the Special Olympics programs offered.","Young Leader - Calgary Affiliate Management Committee Special Olympics Alberta · Contract Part-time Jun 2022 - Present · 4 yrs Calgary, Alberta, Canada As a member of the Affiliate Management Committee, I am responsible for ensuring that there is a clear vision for Special Olympics Calgary that is founded in championing the health and social benefits afforded to Calgarians with an intellectual disability through the Special Olympics programs offered.",2
25d66c06-c2f4-4dcb-8e29-e6a89fe213ca,639a2e46-1f1b-4d39-bf3e-786c15609979,Social Director - Hotchkiss Brain Institute Trainee Organization,Hotchkiss Brain Institute,Contract Full-time,"Calgary, Alberta, Canada",May 2022,Present,4 yrs 1 mo,"As Social Director for the HBITO, I was responsible for organizing and running the social events of the HBITO. The aim of these events was to bring together trainees from the HBI of all all levels (MSc, PhD, and Post-Doctoral Fellows) in an informal setting to get to know one another and foster a better sense of community.","Social Director - Hotchkiss Brain Institute Trainee Organization Hotchkiss Brain Institute · Contract Full-time May 2022 - Present · 4 yrs 1 mo Calgary, Alberta, Canada As Social Director for the HBITO, I was responsible for organizing and running the social events of the HBITO. The aim of these events was to bring together trainees from the HBI of all all levels (MSc, PhD, and Post-Doctoral Fellows) in an informal setting to get to know one another and foster a better sense of community.",3
1a08351e-9a6b-40b6-8a5d-e23b560656a3,639a2e46-1f1b-4d39-bf3e-786c15609979,"Entremétier & Garde Manger Chef, Kitchen Expo",Sky 360,Permanent Part-time,"Calgary, Alberta, Canada",Sep 2021,Feb 2022,6 mos,,"Entremétier & Garde Manger Chef, Kitchen Expo Sky 360 · Permanent Part-time Sep 2021 - Feb 2022 · 6 mos Calgary, Alberta, Canada",4
30d82f37-4e17-44eb-8e27-3b5eb50faedf,639a2e46-1f1b-4d39-bf3e-786c15609979,Pro Shop Representative,Aforza,Permanent Part-time,"Calgary, Alberta, Canada",Aug 2015,Jan 2020,4 yrs 6 mos,"As a pro shop representative, I was responsible for selling and advertising merchandise to customers, organizing and booking tennis courts for coaches and members of the club, and maintaining general cleanliness of the club. After a year on the job, I was put in charge of training all new pro shop employees as I was the most senior pro shop representative at The Tennis Academy.","Pro Shop Representative Aforza · Permanent Part-time Aug 2015 - Jan 2020 · 4 yrs 6 mos Calgary, Alberta, Canada As a pro shop representative, I was responsible for selling and advertising merchandise to customers, organizing and booking tennis courts for coaches and members of the club, and maintaining general cleanliness of the club. After a year on the job, I was put in charge of training all new pro shop employees as I was the most senior pro shop representative at The Tennis Academy.",5
cd461c2c-1851-4545-9ab9-baf7daa307a5,639a2e46-1f1b-4d39-bf3e-786c15609979,Summer Research Student,Calgary Retina Consultants,Seasonal,"Calgary, Alberta, Canada",Jun 2017,Aug 2019,2 yrs 3 mos,"Over the summers of 2017, 2018, and 2019, I was a summer research student for the Calgary Retina Consultants. For my project, I completed a retrospective chart review of patients who had received surgical treatment for bilateral rhegmatogenous retinal detachments (RRD). The purpose of this work was to better understand how bilateral RRD presented in the clinic, as it is an extremely rare condition. Additionally, my project sought to determine which surgical repair methods provided the best visual outcomes at one-year post-operation.","Summer Research Student Calgary Retina Consultants · Seasonal Jun 2017 - Aug 2019 · 2 yrs 3 mos Calgary, Alberta, Canada Over the summers of 2017, 2018, and 2019, I was a summer research student for the Calgary Retina Consultants. For my project, I completed a retrospective chart review of patients who had received surgical treatment for bilateral rhegmatogenous retinal detachments (RRD). The purpose of this work was to better understand how bilateral RRD presented in the clinic, as it is an ext",6
e09a13ac-64b0-47f7-a644-79c2bc4a7c64,639a2e46-1f1b-4d39-bf3e-786c15609979,Line Cook,JOEY Restaurant Group,Permanent Part-time,"Calgary, Alberta, Canada",Jun 2014,Apr 2015,11 mos,"Line cook for JOEY Crowfoot. Responsibilities included preparing and cooking meals for customers, maintaining kitchen cleanliness, and training new cooks to the kitchen. After starting out as an appetizers cook, I was promoted to an entrée cook after only 4 shifts on the job.","Line Cook JOEY Restaurant Group · Permanent Part-time Jun 2014 - Apr 2015 · 11 mos Calgary, Alberta, Canada Line cook for JOEY Crowfoot. Responsibilities included preparing and cooking meals for customers, maintaining kitchen cleanliness, and training new cooks to the kitchen. After starting out as an appetizers cook, I was promoted to an entrée cook after only 4 shifts on the job.",7
04156669-deb5-4752-af2a-35f9c18ab2de,b033cf86-58d8-4d70-b0e1-26881c3adb66,Postdoctoral Researcher,Hotchkiss Brain Institute,Full-time,"Calgary, Alberta, Canada",Jan 2020,Present,6 yrs 5 mos,,"Postdoctoral Researcher Hotchkiss Brain Institute · Full-time Jan 2020 - Present · 6 yrs 5 mos Calgary, Alberta, Canada",0
8c1cafa4-a036-48d8-b154-6153306797f5,b033cf86-58d8-4d70-b0e1-26881c3adb66,Sessional Instructor,University of Calgary,Contract Part-time,"Calgary, Alberta, Canada",Oct 2021,Mar 2023,1 yr 6 mos,,"Sessional Instructor University of Calgary · Contract Part-time Oct 2021 - Mar 2023 · 1 yr 6 mos Calgary, Alberta, Canada",1
8804a14e-265b-4003-89c7-36ca79d14225,b033cf86-58d8-4d70-b0e1-26881c3adb66,Postdoctoral Research Fellow,University of Toronto,,"Greater Toronto Area, Canada",Jan 2019,Jan 2020,1 yr 1 mo,,"Postdoctoral Research Fellow University of Toronto Jan 2019 - Jan 2020 · 1 yr 1 mo Greater Toronto Area, Canada",2
cfe1d153-ba67-40c2-9c14-93b94a636f61,b033cf86-58d8-4d70-b0e1-26881c3adb66,Postdoctoral Research Fellow,The Hospital for Sick Children,Sep 2018 - Dec 2018 · 4 mos,,,,,,"Postdoctoral Research Fellow Sep 2018 - Dec 2018 · 4 mos Toronto, Canada Area",3
629c9f7f-18ff-4742-9fe5-ef2f6da9ea38,b033cf86-58d8-4d70-b0e1-26881c3adb66,Graduate Student,The Hospital for Sick Children,Sep 2012 - Aug 2018 · 6 yrs,,,,,,Graduate Student Sep 2012 - Aug 2018 · 6 yrs,4
8dfc7e21-0f6e-4371-a3dd-0cd2b130cb75,efdbc8f3-283f-4d55-8d4a-cf4403e08152,HBITO Executive Committee,Hotchkiss Brain Institute,,"Administration, Communication and +5 skills",Aug 2025,Present,10 mos,,"HBITO Executive Committee Hotchkiss Brain Institute Aug 2025 - Present · 10 mos Administration, Communication and +5 skills",0
1c4835e2-075c-4a26-8dd4-8db873f46685,efdbc8f3-283f-4d55-8d4a-cf4403e08152,Teaching Assistant,University of Calgary,Contract Part-time,,Sep 2024,Present,1 yr 9 mos,,Teaching Assistant Contract Part-time Sep 2024 - Present · 1 yr 9 mos Skills: Mentoring,1
476e8575-49ba-4bd2-89c6-90d7f5141c45,efdbc8f3-283f-4d55-8d4a-cf4403e08152,Student Trainee,University of Calgary,Aug 2022 - Aug 2024 · 2 yrs 1 mo,,,,,,"Student Trainee Aug 2022 - Aug 2024 · 2 yrs 1 mo Skills: Stereotaxic Surgery, Animal Husbandry, +5 skills",2
829cb170-7bdc-4d61-ae0e-1a68a4273130,9790dd4e-368b-491d-a1af-4e756a236d6c,Director,Alberta Snowboarding Association,,,Oct 2025,Present,8 mos,,Director Alberta Snowboarding Association Oct 2025 - Present · 8 mos,0
d86a4ca8-b348-4ad2-bb0e-f639135b9f56,9790dd4e-368b-491d-a1af-4e756a236d6c,Director,Hotchkiss Brain Institute,Permanent Part-time,"Calgary, Alberta, Canada",Aug 2018,Present,7 yrs 10 mos,,"Director Hotchkiss Brain Institute · Permanent Part-time Aug 2018 - Present · 7 yrs 10 mos Calgary, Alberta, Canada",1
53f06452-6540-4b2a-9662-cfdad7291bf0,9790dd4e-368b-491d-a1af-4e756a236d6c,Neuroscientist,University of Calgary,Permanent Full-time,"Calgary, Alberta, Canada · On-site",Aug 2018,Present,7 yrs 10 mos,,"Neuroscientist University of Calgary · Permanent Full-time Aug 2018 - Present · 7 yrs 10 mos Calgary, Alberta, Canada · On-site",2
cc8f882d-cb9b-49ad-bd0d-270a0e4a246c,9790dd4e-368b-491d-a1af-4e756a236d6c,Director Brain and Mind Research Institute,University of Ottawa,Sep 2014 - Aug 2018 · 4 yrs,,,,,,Director Brain and Mind Research Institute Sep 2014 - Aug 2018 · 4 yrs,3
fb4669ee-4a50-49bc-a6a8-b89584ccff11,9790dd4e-368b-491d-a1af-4e756a236d6c,Neuroscientist,University of Ottawa,Sep 1998 - Aug 2018 · 20 yrs,,,,,,Neuroscientist Sep 1998 - Aug 2018 · 20 yrs,4
63937b10-28cd-4ebf-bf8b-dc929cc28f93,9790dd4e-368b-491d-a1af-4e756a236d6c,Assistant Dean of Research,University of Ottawa,Sep 2009 - Sep 2014 · 5 yrs 1 mo,,,,,,Assistant Dean of Research Sep 2009 - Sep 2014 · 5 yrs 1 mo,5
760b8ca5-b381-41e7-ac7b-c78ca7e2a7c7,ffc02b17-87bd-41f4-ab71-db6024e7dc40,Deputy Director,Hotchkiss Brain Institute,,University of Calgary,Jul 2017,Present,8 yrs 11 mos,,Deputy Director Hotchkiss Brain Institute Jul 2017 - Present · 8 yrs 11 mos University of Calgary,0
4275c429-d173-454a-8321-665b1cc075e9,ffc02b17-87bd-41f4-ab71-db6024e7dc40,Professor of Radiology and Clinical Neuroscience,University of Calgary,Permanent Full-time,,Sep 1999,Present,26 yrs 9 mos,,"Professor of Radiology and Clinical Neuroscience Permanent Full-time Sep 1999 - Present · 26 yrs 9 mos Calgary, Alberta, Canada",1
a8d3a10d-580c-4122-9a0e-7ff6d1b49f98,ffc02b17-87bd-41f4-ab71-db6024e7dc40,Hopewell Professor of Brain Imaging,University of Calgary,Jan 2010 - Mar 2024 · 14 yrs 3 mos,,,,,,"Hopewell Professor of Brain Imaging Jan 2010 - Mar 2024 · 14 yrs 3 mos Seaman Family MR Research Centre, Foothills Medical Centre",2
93df264a-501d-4e34-b932-db59f9ee8eac,ffc02b17-87bd-41f4-ab71-db6024e7dc40,Scientific Director,Seaman Family MR Research Centre,,"Foothills Medical Centre, Alberta Health Services",Jan 2010,Jun 2017,7 yrs 6 mos,,"Scientific Director Seaman Family MR Research Centre Jan 2010 - Jun 2017 · 7 yrs 6 mos Foothills Medical Centre, Alberta Health Services",3
697bf84c-a6d7-4fd0-86a7-fcac48ab6b72,0c2aa172-9ee3-4815-a8e8-940f4c2e9e09,Co Lead and Executive Director,Brain Climate Equity Collaborative (Brain-CE Collab),Permanent Full-time,Hybrid,2025,Present,1 yr 5 mos,"Co-founded and lead Canada's first national organization at the intersection of brain health, climate justice, and health equity. Built from the ground up while completing a graduate degree in neuroscience, Brain-CE Collab now operates a 40+ fellow network, a 10-person expert board, and 15+ active research and advocacy projects spanning local, national, and international partnerships in 45 countries. Responsible for organizational strategy, fundraising, research leadership, partnership development, fellow recruitment and mentorship, and public communications. Our founding article was republished in 17+ outlets. We've secured multiple competitive grants, hosted nationally streamed events, and are conducting research.","Co Lead and Executive Director Brain Climate Equity Collaborative (Brain-CE Collab) · Permanent Full-time 2025 - Present · 1 yr 5 mos Hybrid Co-founded and lead Canada's first national organization at the intersection of brain health, climate justice, and health equity. Built from the ground up while completing a graduate degree in neuroscience, Brain-CE Collab now operates a 40+ fellow network, a 10-person expert board, and 15+ active research and advocacy projects spanning local, national, and",0
